16:25:42 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=ultranest_nopair/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:32:00 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=ultranest_nopair/run2, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:32:00 [ultranest] [INFO] Sampling 300 live points from prior ...
16:32:01 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
16:32:01 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=300, cluster_num_live_points=40
16:32:01 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(300.0)), (np.float64(inf), np.float64(300.0))]
16:32:01 [ultranest] [DEBUG] iteration=0, ncalls=301, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-3975683884180357.00, Lmax=-1202441172.30
16:32:01 [ultranest] [DEBUG] iteration=30, ncalls=333, regioncalls=1320, ndraw=40, logz=-1354004179989388.25, remainder_fraction=100.0000%, Lmin=-1350025688647596.00, Lmax=-1094876394.33
16:32:01 [ultranest] [DEBUG] iteration=60, ncalls=367, regioncalls=2680, ndraw=40, logz=-635535396111488.50, remainder_fraction=100.0000%, Lmin=-629772787957328.88, Lmax=-1094876394.33
16:32:01 [ultranest] [DEBUG] iteration=67, ncalls=375, regioncalls=3000, ndraw=40, logz=-551018819460580.25, remainder_fraction=100.0000%, Lmin=-546084682128976.44, Lmax=-1094876394.33
16:32:01 [ultranest] [DEBUG] iteration=90, ncalls=402, regioncalls=4080, ndraw=40, logz=-334640761497282.56, remainder_fraction=100.0000%, Lmin=-300216955413269.44, Lmax=-1094876394.33
16:32:01 [ultranest] [DEBUG] iteration=120, ncalls=440, regioncalls=5600, ndraw=40, logz=-103053012046481.14, remainder_fraction=100.0000%, Lmin=-95606172701932.06, Lmax=-1094876394.33
16:32:01 [ultranest] [DEBUG] iteration=134, ncalls=461, regioncalls=6440, ndraw=40, logz=-61524897840600.43, remainder_fraction=100.0000%, Lmin=-59747899447810.45, Lmax=-1094876394.33
16:32:01 [ultranest] [DEBUG] iteration=150, ncalls=480, regioncalls=7200, ndraw=40, logz=-35190067781132.95, remainder_fraction=100.0000%, Lmin=-34213299538056.12, Lmax=-1094876394.33
16:32:01 [ultranest] [DEBUG] iteration=180, ncalls=523, regioncalls=8920, ndraw=40, logz=-19619431489352.36, remainder_fraction=100.0000%, Lmin=-19587463383246.45, Lmax=-1094876394.33
16:32:01 [ultranest] [DEBUG] iteration=210, ncalls=560, regioncalls=10400, ndraw=40, logz=-8391750704385.27, remainder_fraction=100.0000%, Lmin=-7980397879120.54, Lmax=-1094876394.33
16:32:01 [ultranest] [DEBUG] iteration=240, ncalls=613, regioncalls=12520, ndraw=40, logz=-3377960189968.53, remainder_fraction=100.0000%, Lmin=-3254782039874.22, Lmax=-1094876394.33
16:32:02 [ultranest] [DEBUG] iteration=270, ncalls=653, regioncalls=14120, ndraw=40, logz=-1697497180700.46, remainder_fraction=100.0000%, Lmin=-1648906068656.44, Lmax=-1094876394.33
16:32:02 [ultranest] [DEBUG] iteration=300, ncalls=698, regioncalls=15920, ndraw=40, logz=-740576216600.65, remainder_fraction=100.0000%, Lmin=-729743836679.19, Lmax=-1094876394.33
16:32:02 [ultranest] [DEBUG] iteration=330, ncalls=754, regioncalls=18160, ndraw=40, logz=-355332513210.92, remainder_fraction=100.0000%, Lmin=-354246034306.39, Lmax=-1094876394.33
16:32:02 [ultranest] [DEBUG] iteration=335, ncalls=764, regioncalls=18560, ndraw=40, logz=-334312934304.00, remainder_fraction=100.0000%, Lmin=-334035830568.40, Lmax=-1094876394.33
16:32:02 [ultranest] [DEBUG] iteration=360, ncalls=797, regioncalls=19880, ndraw=40, logz=-207215026034.55, remainder_fraction=100.0000%, Lmin=-206583916009.35, Lmax=-1094876394.33
16:32:02 [ultranest] [DEBUG] iteration=390, ncalls=849, regioncalls=21960, ndraw=40, logz=-126771999697.48, remainder_fraction=100.0000%, Lmin=-123634254875.26, Lmax=-1094876394.33
16:32:02 [ultranest] [DEBUG] iteration=420, ncalls=895, regioncalls=23800, ndraw=40, logz=-80337211182.05, remainder_fraction=100.0000%, Lmin=-77828051011.95, Lmax=-1094876394.33
16:32:02 [ultranest] [DEBUG] iteration=450, ncalls=948, regioncalls=25920, ndraw=40, logz=-48129169713.66, remainder_fraction=100.0000%, Lmin=-47582368169.33, Lmax=-1094876394.33
16:32:02 [ultranest] [DEBUG] iteration=469, ncalls=976, regioncalls=27040, ndraw=40, logz=-38367313434.44, remainder_fraction=100.0000%, Lmin=-37560763073.51, Lmax=-1094876394.33
16:32:02 [ultranest] [DEBUG] iteration=480, ncalls=993, regioncalls=27720, ndraw=40, logz=-34794739663.17, remainder_fraction=100.0000%, Lmin=-33967584181.10, Lmax=-1094876394.33
16:32:02 [ultranest] [DEBUG] iteration=510, ncalls=1036, regioncalls=29440, ndraw=40, logz=-25739070549.51, remainder_fraction=100.0000%, Lmin=-25447596334.36, Lmax=-1089728328.82
16:32:02 [ultranest] [DEBUG] iteration=536, ncalls=1068, regioncalls=30720, ndraw=40, logz=-19610909667.72, remainder_fraction=100.0000%, Lmin=-19383551421.97, Lmax=-1089728328.82
16:32:02 [ultranest] [DEBUG] iteration=540, ncalls=1074, regioncalls=30960, ndraw=40, logz=-18614077395.40, remainder_fraction=100.0000%, Lmin=-18455705015.14, Lmax=-1089728328.82
16:32:02 [ultranest] [DEBUG] iteration=570, ncalls=1120, regioncalls=32800, ndraw=40, logz=-14537739220.37, remainder_fraction=100.0000%, Lmin=-14536775547.27, Lmax=-1089728328.82
16:32:02 [ultranest] [DEBUG] iteration=600, ncalls=1159, regioncalls=34360, ndraw=40, logz=-11957238411.85, remainder_fraction=100.0000%, Lmin=-11930643733.91, Lmax=-1089728328.82
16:32:02 [ultranest] [DEBUG] iteration=603, ncalls=1165, regioncalls=34600, ndraw=40, logz=-11884819492.61, remainder_fraction=100.0000%, Lmin=-11802514783.84, Lmax=-1089728328.82
16:32:02 [ultranest] [DEBUG] iteration=630, ncalls=1198, regioncalls=35920, ndraw=40, logz=-9610594381.96, remainder_fraction=100.0000%, Lmin=-9606558608.68, Lmax=-1089728328.82
16:32:02 [ultranest] [DEBUG] iteration=660, ncalls=1241, regioncalls=37640, ndraw=40, logz=-8016640851.19, remainder_fraction=100.0000%, Lmin=-8001361958.53, Lmax=-1089728328.82
16:32:02 [ultranest] [DEBUG] iteration=670, ncalls=1251, regioncalls=38040, ndraw=40, logz=-7559021950.40, remainder_fraction=100.0000%, Lmin=-7536436785.54, Lmax=-1089728328.82
16:32:02 [ultranest] [DEBUG] iteration=690, ncalls=1276, regioncalls=39040, ndraw=40, logz=-6744925527.91, remainder_fraction=100.0000%, Lmin=-6737391726.69, Lmax=-1089728328.82
16:32:02 [ultranest] [DEBUG] iteration=720, ncalls=1327, regioncalls=41120, ndraw=40, logz=-5706661195.47, remainder_fraction=100.0000%, Lmin=-5705879885.25, Lmax=-1089728328.82
16:32:02 [ultranest] [DEBUG] iteration=750, ncalls=1376, regioncalls=43080, ndraw=40, logz=-4940420251.10, remainder_fraction=100.0000%, Lmin=-4900371694.55, Lmax=-1089728328.82
16:32:02 [ultranest] [DEBUG] iteration=780, ncalls=1427, regioncalls=45120, ndraw=40, logz=-4322706195.96, remainder_fraction=100.0000%, Lmin=-4316392117.18, Lmax=-1089728328.82
16:32:02 [ultranest] [DEBUG] iteration=804, ncalls=1458, regioncalls=46360, ndraw=40, logz=-3980303906.02, remainder_fraction=100.0000%, Lmin=-3979473571.70, Lmax=-1089728328.82
16:32:02 [ultranest] [DEBUG] iteration=810, ncalls=1466, regioncalls=46680, ndraw=40, logz=-3913169206.02, remainder_fraction=100.0000%, Lmin=-3898477108.35, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=840, ncalls=1501, regioncalls=48080, ndraw=40, logz=-3397109600.49, remainder_fraction=100.0000%, Lmin=-3391394145.84, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=870, ncalls=1555, regioncalls=50440, ndraw=40, logz=-3083358568.07, remainder_fraction=100.0000%, Lmin=-3080565071.24, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=871, ncalls=1556, regioncalls=50480, ndraw=40, logz=-3080565079.85, remainder_fraction=100.0000%, Lmin=-3080106631.90, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=900, ncalls=1597, regioncalls=52280, ndraw=40, logz=-2805534494.80, remainder_fraction=100.0000%, Lmin=-2805235539.91, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=930, ncalls=1648, regioncalls=54320, ndraw=40, logz=-2549816575.03, remainder_fraction=100.0000%, Lmin=-2536096535.27, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=938, ncalls=1661, regioncalls=54840, ndraw=40, logz=-2489410903.02, remainder_fraction=100.0000%, Lmin=-2485667260.16, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=960, ncalls=1688, regioncalls=55960, ndraw=40, logz=-2358222327.48, remainder_fraction=100.0000%, Lmin=-2356320515.96, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=990, ncalls=1726, regioncalls=57480, ndraw=40, logz=-2187586765.75, remainder_fraction=100.0000%, Lmin=-2182069832.93, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=1005, ncalls=1744, regioncalls=58200, ndraw=40, logz=-2142814862.72, remainder_fraction=100.0000%, Lmin=-2140939308.44, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=1020, ncalls=1761, regioncalls=58920, ndraw=40, logz=-2055976833.68, remainder_fraction=100.0000%, Lmin=-2055905024.20, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=1050, ncalls=1804, regioncalls=60640, ndraw=40, logz=-1938097603.91, remainder_fraction=100.0000%, Lmin=-1935245920.27, Lmax=-1089728328.82
16:32:03 [ultranest] [DEBUG] iteration=1072, ncalls=1846, regioncalls=62320, ndraw=40, logz=-1882695438.17, remainder_fraction=100.0000%, Lmin=-1881208515.05, Lmax=-1089110346.12
16:32:03 [ultranest] [DEBUG] iteration=1080, ncalls=1857, regioncalls=62960, ndraw=40, logz=-1861787891.25, remainder_fraction=100.0000%, Lmin=-1861462763.23, Lmax=-1089110346.12
16:32:03 [ultranest] [DEBUG] iteration=1110, ncalls=1906, regioncalls=64920, ndraw=40, logz=-1776332506.34, remainder_fraction=100.0000%, Lmin=-1774824178.26, Lmax=-1085856952.54
