16:57:57 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=ultranest_nopair/run5, backend=hdf5, vectorized=True, nbootstraps=30, ndraw=128..65536
17:01:38 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=ultranest_nopair/run6, backend=hdf5, vectorized=True, nbootstraps=30, ndraw=128..65536
17:01:38 [ultranest] [INFO] Sampling 300 live points from prior ...
17:01:38 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
17:01:38 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=300, cluster_num_live_points=40
17:01:38 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(300.0)), (np.float64(inf), np.float64(300.0))]
17:01:39 [ultranest] [DEBUG] iteration=0, ncalls=428, regioncalls=128, ndraw=128, logz=-inf, remainder_fraction=100.0000%, Lmin=-3066897302790633.00, Lmax=-26553.26
17:01:39 [ultranest] [DEBUG] iteration=30, ncalls=428, regioncalls=128, ndraw=128, logz=-378563000942168.44, remainder_fraction=100.0000%, Lmin=-378561550525922.62, Lmax=-26553.26
17:01:39 [ultranest] [DEBUG] iteration=60, ncalls=428, regioncalls=128, ndraw=128, logz=-98778650439867.22, remainder_fraction=100.0000%, Lmin=-98615739529521.31, Lmax=-26553.26
17:01:39 [ultranest] [DEBUG] iteration=67, ncalls=428, regioncalls=128, ndraw=128, logz=-89585631599255.55, remainder_fraction=100.0000%, Lmin=-80360862309785.23, Lmax=-26553.26
17:01:39 [ultranest] [DEBUG] iteration=90, ncalls=428, regioncalls=128, ndraw=128, logz=-18846690570384.52, remainder_fraction=100.0000%, Lmin=-18610524933892.30, Lmax=-26553.26
17:01:39 [ultranest] [DEBUG] iteration=120, ncalls=551, regioncalls=256, ndraw=128, logz=-2909195126380.02, remainder_fraction=100.0000%, Lmin=-2604323528053.70, Lmax=-26553.26
17:01:39 [ultranest] [DEBUG] iteration=134, ncalls=551, regioncalls=256, ndraw=128, logz=-1096477380958.96, remainder_fraction=100.0000%, Lmin=-1078447436356.20, Lmax=-26553.26
17:01:39 [ultranest] [DEBUG] iteration=150, ncalls=551, regioncalls=256, ndraw=128, logz=-317726642186.68, remainder_fraction=100.0000%, Lmin=-261083609754.56, Lmax=-26553.26
17:01:39 [ultranest] [DEBUG] iteration=180, ncalls=551, regioncalls=256, ndraw=128, logz=-40666749358.69, remainder_fraction=100.0000%, Lmin=-36996288069.23, Lmax=-26553.26
17:01:39 [ultranest] [DEBUG] iteration=201, ncalls=650, regioncalls=384, ndraw=128, logz=-8907845705.34, remainder_fraction=100.0000%, Lmin=-8431772995.81, Lmax=-26553.26
17:01:39 [ultranest] [DEBUG] iteration=210, ncalls=650, regioncalls=384, ndraw=128, logz=-6326721902.82, remainder_fraction=100.0000%, Lmin=-5781154548.70, Lmax=-26553.26
