a_v a_s a_c a_sym sigma_sys
3.875026316493570988e+01 7.359829740564823197e+00 1.153434340810542746e+00 2.290482874617271847e+01 8.148143743091881333e+03
3.986676792389790336e+01 1.325945680147825101e+01 3.425730742674780727e-01 7.297744161271393359e+00 7.864113013005748144e+03
3.513709826533811764e+01 3.294494510149424826e+01 5.174757754019905232e-01 9.290877283192899849e-01 8.020110051489938996e+03
3.689615989460185830e+01 6.516070764001915538e-01 2.261519449445161811e-01 2.089016243590832644e+01 8.223487894284340655e+03
3.513709826533811764e+01 3.294494510149424826e+01 5.174757754019905232e-01 9.290877283192899849e-01 8.020110051489938996e+03
3.756455441513860904e+01 2.904475046498514601e+01 1.954791412620315860e-02 1.182018700897002361e+01 8.149359605870899941e+03
3.910797821947711128e+01 1.256874106726450435e+01 6.405284947713968391e-02 5.559510907962147641e+00 7.884202989929441173e+03
3.187625410943722670e+01 2.307593385590955748e+01 9.815473571447568268e-01 5.416389619976005321e+00 8.047145168483442831e+03
3.320202912285894570e+01 5.737274852611457199e+00 1.340947973970352924e+00 2.804584423349163558e+01 8.244854677395307590e+03
3.651544509328878974e+01 1.685843921726502259e+01 3.679920994081368746e-01 9.330301685445846260e+00 7.954538858909189003e+03
3.796443013073946560e+01 1.575640051110040218e+01 5.965709241341390356e-01 3.211507381901456171e+01 7.950423588305221529e+03
3.767558970629465875e+01 6.031050508650093178e+00 2.335272842819360317e-01 4.131653616591930955e+01 8.013197608733908055e+03
2.628884249569700060e+01 6.201595753297681313e+00 4.407591469013782959e-01 1.055044867770665462e+01 8.115352317486441279e+03
3.868033903819183195e+01 3.926953100552993403e-01 2.860021573919158677e-01 4.601977787528958430e+01 7.973254536047289548e+03
3.910162904612314350e+01 5.357091961984426831e+00 8.646878105467864506e-02 2.649000331616269133e+00 8.161403065202994185e+03
3.726386970462001358e+01 3.167919037900246337e+01 2.751675312146248942e-01 9.987844447255913138e+00 8.077734770247655433e+03
3.917148856670162616e+01 2.137035179968916410e+01 3.447299226608999678e-01 3.830863665346241120e+00 7.946788094155295767e+03
3.850019467561166664e+01 3.324781547425177308e+01 4.279766528268563741e-02 2.411925385107873510e+01 7.919656985119596357e+03
3.959674576186169759e+01 1.123267778180900933e+01 7.246967889428747034e-01 4.472410373143452489e+01 8.172286136651155175e+03
3.717998061591610082e+01 9.299319631333727187e+00 1.695894090401429410e-01 1.774053375068805849e+01 8.151228602562870037e+03
3.917170688803555123e+01 3.245526429986927752e+01 7.795621285223766073e-01 2.353002095582286302e+01 7.982075192954366685e+03
3.972768613568599250e+01 1.017197290338037075e+00 1.607699206267804992e-01 4.152416217935530085e+01 7.880585701646506095e+03
2.974894614586796848e+01 7.298425680106246816e+00 3.493538167778964532e-01 2.797147467085327932e+01 8.258658365007573593e+03
3.866678618322332994e+01 1.025079531788707321e+01 1.423791492390433344e+00 4.779975390774116306e+01 8.027873894944698804e+03
3.913361585903532358e+01 4.112402071628363798e-01 2.013767547804726499e-01 3.522718302496448128e+00 7.946267181683656418e+03
3.121885379124140769e+01 2.099322353400677343e+01 2.586223761273732658e-01 1.038592725516140192e+01 8.066450365100131421e+03
3.546474249853044114e+01 3.781001754008694871e+00 1.120125975345383385e+00 5.933335408151938140e+01 8.004646291422585819e+03
3.733802882961066416e+01 1.356454472488437446e+01 2.643412945481359300e-01 3.820783039263874059e+01 7.951472933828261375e+03
3.778505689499205999e+01 3.277921696819275610e+01 1.832609223212909588e-01 3.398410604085254505e+01 7.917879912280835015e+03
3.918723991895491565e+01 8.238382415142517345e+00 6.475082642015619339e-01 5.253402255448449409e+01 8.008067657916865755e+03
3.984486120102365447e+01 3.622367757468170879e+01 6.044197612427677502e-01 3.771470329249357878e+00 8.130343752775804205e+03
3.969757526892558275e+01 2.331729028151953287e+01 2.931790727622595183e-01 5.143451112423876026e+01 8.135025867108966850e+03
3.990279157721118253e+01 3.228255176616169120e+00 2.635492337770952709e-01 1.632160602688248474e-01 8.073058345764153273e+03
3.970909032839492170e+01 8.013843472803834800e+00 5.949194623581697261e-01 2.709183056709185067e+01 8.052437948746715847e+03
3.969628369033610227e+01 9.732173664965168669e+00 2.176352998286075757e-01 3.859761859287891639e+01 7.885352691793092163e+03
3.783764178586741878e+01 3.636232189937187442e-01 1.682737212535435067e-01 2.605620057655811550e+01 7.960374423378060783e+03
3.995788113737985725e+01 1.494216871054865869e+01 4.900414145230347907e-01 2.379705357510304253e+01 8.009609031721900465e+03
3.989474173497486476e+01 4.350491032586541351e+00 9.216150644259724078e-01 7.200648669036584515e+00 8.155615077873788323e+03
3.724780874447568380e+01 1.787390752188194298e+01 5.887621328816259325e-01 2.402790540179333689e+00 7.952015021196052658e+03
3.815085367613486511e+01 3.554677244988244667e+01 1.496293712012752408e+00 2.134067787815223127e+01 8.105130829923682541e+03
3.774063874771569260e+01 1.696067494404143972e+01 1.458763444499226125e+00 1.276445162360324836e+01 7.928760595499931696e+03
2.956463759527160207e+01 5.346990083824462836e+00 5.163077169748541140e-01 4.251580781261511532e+01 7.918037990592182723e+03
3.944670802581516966e+01 6.617847566209919208e+00 1.639898467335943189e-01 3.274296719546652135e+00 7.993900558853886650e+03
3.478405956192254678e+01 1.494146548670194363e-01 8.851612995602126110e-01 1.458761856548277391e+00 8.144233993344248120e+03
2.998385748337224044e+01 2.248030376692633503e+00 4.758013484142312732e-01 6.521548823030612674e+00 8.029569959752558134e+03
3.477153626134108322e+01 2.300224398589628905e+00 5.140708981871389138e-01 1.522743455636710230e+01 7.984960756798100192e+03
3.452300341507847747e+01 7.626232153038378314e+00 1.283057714729978760e-01 5.303645714309775627e+01 7.999049491989869239e+03
3.608974875109713309e+01 1.038926549898062879e+00 4.318241534270841342e-01 2.299168415498779794e+01 8.006440735313582991e+03
3.961478518787482983e+01 2.629200946053800170e+00 4.993763934430343054e-01 2.535247053787445637e+01 8.220501418157713488e+03
3.942001664235687741e+01 1.578176206959662542e+00 7.798959533208587036e-01 5.024228426036709294e+01 8.065705320336453042e+03
3.844236781989000917e+01 1.049238574188293782e+01 4.401209613426341205e-01 1.445489863563552291e+01 8.080186221272783769e+03
3.858312300448071852e+01 2.556611983280862432e+01 1.357534184659245358e-02 3.115631687891287527e+01 7.954135483756860594e+03
3.686826320156163206e+01 6.531180263049440882e-01 7.049082269057904693e-01 2.931115684748099426e+01 8.250751826464169426e+03
2.168869454518206297e+01 2.668031134139048888e+01 1.955929570812731388e-01 1.015259459648664730e+01 7.946613842763583307e+03
3.440904162301384162e+01 2.633243173376045121e+01 2.469304538936697990e-01 1.987093238924761351e+01 8.043017033229823028e+03
3.787491710889086249e+01 4.214799011128454787e+00 7.062118812041626725e-01 3.232652505403444820e+01 8.209139824235277047e+03
3.434089620644638075e+01 4.076272402190529220e+01 4.253742068800059339e-01 2.238880121032767079e+01 8.061526972236344591e+03
3.705916340954763655e+01 6.550462584067402894e+00 2.382058641381359088e-01 2.852616279012457667e+01 7.955307806634690678e+03
3.841612001164194368e+01 2.144342591369304607e+00 7.842026666891905862e-01 4.955667187397749807e-01 8.137839837553350662e+03
3.683226374918324098e+01 7.788568976328781979e+00 5.102967618540008576e-01 4.748915557262884590e+01 8.156304130070499014e+03
3.837650221848709720e+01 1.130000806843242778e+00 7.317812293264069901e-01 1.670689575939025318e+01 7.920918326413288014e+03
3.885059041554150383e+01 2.194055476839508145e+01 5.301633433504353565e-01 3.754913994301590918e+01 8.056170061680879371e+03
3.794649547020647873e+01 2.282360679393800140e+01 1.137577785397395402e+00 3.192335190792560340e+00 8.247703377919659033e+03
3.995318263570349870e+01 4.039043051332618006e+01 3.796028413143325286e-01 5.978503765889668387e+01 7.773858675807194231e+03
3.679900310730311475e+01 2.944221224917279400e+01 9.583794054886244362e-01 4.796662789535613314e+00 7.948380765096488176e+03
3.944311356524811885e+01 8.913053200811128507e-01 4.715216310494728669e-01 1.403750729941649666e+01 8.039523718241644929e+03
3.594156310351021943e+01 1.175390062431401539e+00 1.147178753482294700e-02 5.157538715994382272e+01 7.931203257007969114e+03
3.879699970549279442e+01 3.703682885135980207e+00 3.225305133463105545e-01 2.031705192134455018e+01 8.217647801727918704e+03
3.925766662210534008e+01 6.571885862962808744e+00 2.320411080331869491e-01 2.937668648377253788e+01 8.076095467400003145e+03
3.950150670399037267e+01 1.264700499733374706e+01 1.402745800773681495e+00 2.876847343503601095e+01 8.036512206144370793e+03
3.934970599131639801e+01 2.160925731338721345e+00 1.178921654340824521e+00 2.495173831571632306e+00 8.097086284650793459e+03
3.828789447031788740e+01 2.951480688858339807e+00 2.071424457764225735e-01 3.833491290901210391e+01 8.024166571727359951e+03
3.978906781700923290e+01 3.538384023927941824e-01 9.846037589429060821e-01 1.990197086512758062e+01 8.044696382710902981e+03
3.966138710021109404e+01 2.087935915169764201e+01 1.019476042792353931e+00 1.060557791507685721e+01 7.936629333164843047e+03
3.504500411767003953e+01 5.225814509782934714e+00 1.167591058493324396e-01 4.471029296596759295e+00 7.992567303226213880e+03
3.743506718346568363e+01 6.080353776340824190e+00 2.853746108699680706e-01 1.268719121674520878e+01 7.946964744580341176e+03
3.892088238683711410e+01 1.138647319351943743e+01 4.143439423376604758e-01 5.205561257063471459e+01 7.911368403093061715e+03
3.983927590574286626e+01 1.585826403340344903e+01 5.305032708690942123e-01 4.773147736198551883e+01 8.059472218035988590e+03
3.766087033930927674e+01 4.743666746924799327e+01 5.626315503335543866e-02 2.675419646250234429e+00 8.078972058487762297e+03
3.698601154891282761e+01 4.729179813985394532e+01 3.565268417640213849e-01 3.085469625395290549e+01 8.169980757083983917e+03
3.732072583371926555e+01 1.128293585374620545e+00 8.654523689848517276e-02 2.026381885085205781e+01 8.385046857612040185e+03
3.429104839044566688e+01 2.838251811679899461e+01 3.322480483870167145e-01 3.721174168485992340e+01 7.828248792879346183e+03
3.865614076486404826e+01 5.337955044667616278e+00 7.291044269876677530e-01 3.422472897581447171e+01 8.104857116461759688e+03
3.823553131117240156e+01 4.014909948452698529e+01 2.171494275802654528e-03 5.926649629964627053e+01 8.048352988313199603e+03
3.937903910957331277e+01 3.108995655014740578e+01 1.270767308576213062e-01 2.622773229671663131e+01 8.075548720617607614e+03
3.872835167253571598e+01 1.404386079300641299e+01 2.371772137675886016e-01 3.803165233476903495e+01 8.137255105548280881e+03
3.667793884468206045e+01 1.681769600619383453e+01 8.434326833181016170e-04 5.534124216427738929e+01 7.934587223002577957e+03
3.772524494251136673e+01 2.467338797634832215e+00 2.795183868079291201e-01 2.078331620095231003e+01 8.006394606786481745e+03
3.527634786101383213e+01 1.517124534126701185e+01 1.931556248503568662e-02 4.919050883727118872e+01 8.016388740658553616e+03
3.488547464910125484e+01 1.242799754831442982e+01 5.671168638534520579e-01 1.792223793602520487e+01 8.126467775953326964e+03
3.876549537766781128e+01 1.636291029646089967e+00 1.295855283037522232e-01 2.940151191611075987e+01 7.953014537244984240e+03
3.868348766708348307e+01 2.502716958166052219e+00 1.522584136058277582e-01 5.502545011291730681e+00 8.063291581375850001e+03
3.189863619495023173e+01 1.986110222787006307e+01 1.407185636083682523e+00 8.081830844996917840e-01 8.042274349417178200e+03
3.830914509995758976e+01 1.698001061986111004e+00 8.150227414613242516e-03 2.663550395628690737e+01 8.184394703873835169e+03
3.825404441530640298e+01 2.501548560169355895e+00 4.361464205096324820e-01 1.735617186658087263e+01 8.046570534299195060e+03
2.960052744580444894e+01 2.093988682918404365e+01 2.795596791268742942e-01 2.543775834173095518e+01 8.067040075054903355e+03
3.866749127967048594e+01 2.552757062903429741e+01 2.418645108616404582e-02 1.319008372633833304e+01 8.106877893464517001e+03
3.955878229872224239e+01 4.645347059011867508e+00 8.586595934303249411e-01 4.863647579257552422e+01 8.078303171307571574e+03
3.794242982698744271e+01 2.189280359364486284e+00 2.365366096516787198e-01 2.183704547792342865e+01 8.047029625836840751e+03
3.390076411913869947e+01 2.601063406674189338e+00 1.299857448127472725e+00 4.268401265746993190e+00 8.025188743057501597e+03
3.331578488193243714e+01 1.769126147362656720e+00 2.288238900525572106e-01 4.864515703263258928e+01 8.062796082150094662e+03
3.753655652875210791e+01 2.525411099076066535e+01 1.000275582219015469e+00 3.092425062103995970e+01 7.966210828971155024e+03
2.557355411187243988e+01 3.165376860251742386e+01 2.482194898251832149e-01 1.071307918608729315e+00 8.013418564804888774e+03
3.177980619697195053e+01 3.254139404787265377e+00 7.071054517668021733e-01 2.022739150758656734e-01 8.004919574020194887e+03
3.581924571775677180e+01 3.208802865543058402e+01 5.283573872146076766e-01 4.841022962423254228e+01 8.155497559639762585e+03
3.867439900504066941e+01 9.628735890249206619e+00 4.378276227445845881e-02 2.586778191954400441e+01 8.109817659759749404e+03
3.306536308993457851e+01 1.091441614518044467e+01 5.139309318832493423e-01 1.942198582325556799e+01 7.843696078928448514e+03
3.991382361594684625e+01 1.357526693276410512e+01 2.347568401709283492e-01 1.729280095039263543e+01 8.063859030135289686e+03
3.868648803810931724e+01 3.275715518571554519e+00 4.249022435084889859e-02 2.930508633001437246e+01 7.981118252600529559e+03
3.886280221363598741e+01 2.069496334113585334e+01 3.022247917601565970e-01 3.624351530526092269e+00 7.837840419960235522e+03
3.701851930594708051e+01 9.764486170408302357e+00 6.776915769460496453e-01 1.721511963429392011e+01 7.945452024644037010e+03
3.727345513780877440e+01 4.280342975788578030e+00 7.000078990816334112e-01 2.259465043667790951e+01 8.158523290809986975e+03
3.864259847858960484e+01 7.016246070931009271e+00 8.186615835625363768e-01 8.077941958632234076e+00 8.252095406131860727e+03
3.873578593082868338e+01 2.192571539768714661e+00 7.637918054182140093e-01 4.478024766159306225e+00 7.929346050176353856e+03
3.922943153338268729e+01 1.877839427499161218e+01 7.526138891179384727e-01 4.193982318321975988e-01 7.840108840950845661e+03
3.699446988787266832e+01 2.347496972087841272e+01 1.317097699353282803e+00 1.615973308766782424e+01 8.004622259133002444e+03
3.696135100871461532e+01 4.251225751827269761e+01 4.942452805990825704e-01 1.802529559671117454e+01 7.911744025318042077e+03
2.887544883400986606e+01 2.016625929818486895e+01 7.913713106987274593e-02 5.487241299920319193e+01 7.781806972169333676e+03
3.173328112552788838e+01 1.025184260715267293e+01 5.378572897597435620e-01 1.122572093724207143e+01 8.108263446487868350e+03
3.995114316809823407e+01 2.243756671259197866e+00 2.902134984435142950e-01 5.785901438607671565e+01 7.827063160537219119e+03
3.662841787088977696e+01 2.301370347140437289e+01 1.278606589379679970e-02 9.137583336416833291e+00 8.164651623468855178e+03
