weight logl a_v a_s a_c a_sym sigma_sys
0.000000000000000000e+00 -3.066897302790633000e+15 8.320879154617005113e+00 3.610754601347406378e+01 6.896306268519596383e-01 1.439794193132733646e+01 1.093234299347874616e-03
0.000000000000000000e+00 -2.839160900701249500e+15 1.294551427786555564e+01 4.843750719497558421e+00 1.472206866265877379e+00 1.918114521072302381e+01 1.160477407927325202e-03
0.000000000000000000e+00 -2.707638569324492000e+15 2.713132401072188316e+01 2.387589494734054796e+00 3.656975944759665587e-01 7.473042505602521146e+00 1.201003789015699747e-03
0.000000000000000000e+00 -2.642021390279135000e+15 1.755359394427419417e+01 4.675162778068453484e+00 1.274066558420356099e+00 3.302194145886282683e+01 1.228115843717731857e-03
0.000000000000000000e+00 -2.520991797345822500e+15 1.338766146349566810e+01 2.689664727199196292e+01 7.007124954766372760e-01 1.502789349683445685e+01 1.277092263702072836e-03
0.000000000000000000e+00 -2.492360137743048000e+15 1.383490012254239154e+01 3.834781552747330835e+01 1.036956811338889617e+00 4.044882331833175471e+01 1.289898867220655356e-03
0.000000000000000000e+00 -2.472099864606587000e+15 3.582010449404747021e+01 8.889476995182072017e+00 9.129312434131293674e-01 4.359972123056584792e+01 1.290838852020417642e-03
0.000000000000000000e+00 -2.126983031068206000e+15 2.532375041653594749e+01 4.391467023072570086e+00 1.804598219541969084e-01 2.020979212988605056e-01 1.458682280903231005e-03
0.000000000000000000e+00 -1.794617894293126500e+15 3.765177720751165680e+01 4.711191971670976386e+01 5.605029544775628203e-01 5.724251635696480633e+01 1.673846803383683681e-03
0.000000000000000000e+00 -1.716849272168877500e+15 2.451599433738437739e+01 4.786420148993772017e+01 6.920055947691250431e-01 7.965725082877002095e+00 1.739399420256806331e-03
0.000000000000000000e+00 -1.558262803185519750e+15 2.983721706270632268e+01 4.141239609571739066e+01 1.188085606668292771e+00 5.191352935270965929e+01 1.880124416474478546e-03
0.000000000000000000e+00 -1.539410061129065750e+15 1.175435438366500662e+01 7.132723294703591677e+00 9.877862225900625459e-01 4.610915826128524486e+01 1.902033578161852184e-03
0.000000000000000000e+00 -1.436817565892520500e+15 1.426056222921416428e+01 1.943167857637049778e+01 1.925173628649992086e-01 5.457582243716313997e+01 2.010860029269274235e-03
0.000000000000000000e+00 -1.136070746173931500e+15 1.845065556003389418e+01 5.364058815426220761e+00 2.133465503848146483e-01 3.270589435050214178e+01 2.430265838904280273e-03
0.000000000000000000e+00 -1.039737016260487750e+15 5.597224350713243979e+00 1.348741041259964923e+01 2.864323140138566592e-01 4.784750476628597937e+01 2.619881733360617145e-03
0.000000000000000000e+00 -8.116023444659167500e+14 3.153116327570080557e+01 4.812521767952765828e+01 1.090071699765887248e+00 4.556846810728438868e+01 3.194855578845738620e-03
0.000000000000000000e+00 -7.851121314773557500e+14 1.075571285879972550e+01 2.135706246996362978e+01 2.911020002969581522e-01 2.033904845002809481e+01 3.288992328169048924e-03
0.000000000000000000e+00 -7.154237330538260000e+14 1.257837700287238647e+01 1.389048562028324874e+01 8.726310436909701096e-01 2.284684605737282936e+01 3.545278899006273736e-03
0.000000000000000000e+00 -7.112077490615888750e+14 3.038862578049017671e+01 2.026457186671519750e+01 1.012130556306857887e+00 5.816892683998899827e+01 3.551827935702718455e-03
0.000000000000000000e+00 -7.047055201469953750e+14 6.040887842585751955e+00 1.038981384085134252e+01 2.613107128193478124e-01 8.736779254810789652e+00 3.591021157973721140e-03
0.000000000000000000e+00 -6.924571051792617500e+14 8.356620483181046666e+00 1.040114922646277407e+01 5.437352033838797061e-01 1.321250495277151948e+01 3.641493502016425812e-03
0.000000000000000000e+00 -6.514986249437435000e+14 3.762500890200821857e+01 2.791773290895314830e+01 4.505789695693978580e-01 1.400306638924111446e+00 3.806139815309625418e-03
0.000000000000000000e+00 -5.444087255710176250e+14 6.029978833771973079e+00 3.572109157591793860e+01 1.022817593225226362e+00 5.027535782282411958e+01 4.429644311976462835e-03
0.000000000000000000e+00 -5.225326664434206250e+14 3.262807602644544858e+01 1.873412884748393292e+00 5.623602910206706440e-01 4.067549761143840925e+00 4.544427063467050380e-03
0.000000000000000000e+00 -5.140014761822233125e+14 3.631093995623930226e+01 2.511438936287164125e+01 1.041697325543259556e+00 4.664902770257970133e+01 4.608843090842236999e-03
0.000000000000000000e+00 -4.485132475897003750e+14 9.717769447809118333e+00 1.176433143362103984e+01 1.190291783401034698e+00 2.005052892251285712e+01 5.161109997764851305e-03
0.000000000000000000e+00 -4.347595210328997500e+14 1.894336179338259285e+01 3.706564071560362095e+01 1.206370040806480137e+00 5.347979279931051622e+01 5.287684778671588974e-03
0.000000000000000000e+00 -4.207271396693095000e+14 3.163280966965772478e+01 5.167244198910603714e+00 1.407285595338638173e-01 3.801418205002686790e+01 5.401171420792325213e-03
0.000000000000000000e+00 -3.997574046288686250e+14 3.407768277694101045e+01 3.619995810449794504e+01 1.680129555602099534e-01 5.806039401656100551e+01 5.629500595255848040e-03
0.000000000000000000e+00 -3.785630009421626250e+14 2.215476958612716274e+01 3.138383350571232100e+01 1.547877672290332574e-01 5.774893910191531177e+01 5.888162680210690461e-03
0.000000000000000000e+00 -3.785615505259226250e+14 2.495111099095984741e+01 2.855624648150151756e+01 4.574394494817583534e-01 4.965317268291391883e+01 5.885415198470495858e-03
0.000000000000000000e+00 -3.686417202930738125e+14 1.534191932540395342e+01 2.319237701211043756e+01 1.453965988922939045e+00 1.483441423920719515e+01 6.022431454268437068e-03
0.000000000000000000e+00 -3.649026439600035000e+14 3.104223369727992932e+01 3.614925638550287346e+01 5.561199914942442923e-01 1.675083843435670161e+01 6.051998544635395216e-03
0.000000000000000000e+00 -3.521607848133160000e+14 1.059962638419689540e+01 3.922256987464896838e+01 3.825689102928972463e-01 1.333533582540931128e+00 6.246411447599829921e-03
0.000000000000000000e+00 -3.495411499725090000e+14 6.983797303334854156e+00 1.042508004094689866e+01 1.100701452107027745e+00 5.574409357629085804e+01 6.284358206384696964e-03
0.000000000000000000e+00 -3.435215494781295000e+14 2.624242357032240136e+01 4.594962178116986706e+01 1.228891071447343553e+00 3.652268671137523626e+01 6.356722359098183027e-03
0.000000000000000000e+00 -3.425760940899348750e+14 3.378067179766912886e+01 2.299428652939531403e+01 7.556577981612594419e-01 4.608123172278748569e+01 6.352960432358797579e-03
0.000000000000000000e+00 -3.361707439101236250e+14 3.207736905211942258e+01 7.999828363174610324e+00 7.784218396980471244e-01 5.762051546682820380e+00 6.443830438962709281e-03
0.000000000000000000e+00 -3.030991693491430000e+14 3.481074314750953391e+01 4.006722642722968430e+01 4.196258607343673619e-01 4.042488357587529890e+00 6.986659211343644073e-03
0.000000000000000000e+00 -2.983680935482218125e+14 1.565589347940380627e+01 6.435196044009177996e+00 1.462662101441074003e-01 5.796476854019709890e+01 7.087617559673896686e-03
0.000000000000000000e+00 -2.952355385834209375e+14 1.175280425357394165e+01 1.470407120715647764e+01 6.363310011814042877e-01 4.383720116349048013e+00 7.154042987447125149e-03
0.000000000000000000e+00 -2.663270321681552812e+14 1.111239405601599373e+01 3.668462677255685200e+00 5.850789924574260059e-01 5.193747237096654601e+01 7.740925208175901059e-03
0.000000000000000000e+00 -2.459696309389505312e+14 2.234335272888139912e+01 7.556062325928136758e+00 1.412132386930703198e+00 3.926684184982848791e+01 8.212391701106101435e-03
0.000000000000000000e+00 -2.427719967733043750e+14 9.342931683181269875e+00 1.408430224353480220e+01 6.084516837120174104e-01 5.715636086947042571e+01 8.312125904096865150e-03
0.000000000000000000e+00 -2.320675345328107812e+14 1.733262009175435026e+01 1.555313218799658870e+01 6.108122059147952365e-01 2.878113119514387819e+01 8.586930447128344329e-03
0.000000000000000000e+00 -1.763261868447452500e+14 3.296806620705994106e+01 1.047741647358126826e+01 8.812563736691960692e-01 1.252915426296140389e+01 1.050587174630475407e-02
0.000000000000000000e+00 -1.644998229064049062e+14 6.647805249438336617e+00 9.411438842420000839e+00 1.359876353981436026e+00 5.333213444821478078e+01 1.111241019710435159e-02
0.000000000000000000e+00 -1.460198536604723125e+14 2.632438959320558070e+01 3.383185810909325397e+01 1.840250730798733692e-01 2.548946099312765412e+01 1.207619739808393593e-02
0.000000000000000000e+00 -1.231207018737364375e+14 1.194151388433602534e+01 2.027270393141928295e+01 1.317579580765237957e+00 5.581430780262562763e+01 1.369156823294096111e-02
0.000000000000000000e+00 -1.216199699766141562e+14 3.764513614210289916e+01 2.912914004233405052e+01 1.400240450026613459e+00 5.638398005245437616e+01 1.375577924032470208e-02
0.000000000000000000e+00 -1.205928995388048750e+14 1.675682306883869188e+01 4.939738516384911549e+01 1.252040540691819581e+00 3.160983073794006160e+01 1.389728318069455640e-02
0.000000000000000000e+00 -1.199613261337560469e+14 2.937136021402942632e+01 4.758301324232181884e+01 4.947765509926667638e-01 2.315240531904450094e+01 1.390977345289615315e-02
0.000000000000000000e+00 -1.189755169236309375e+14 6.432920481930324286e+00 1.465785178985664139e+01 9.150937697131291682e-01 4.348355171185345824e+01 1.403539956328445082e-02
