weight logl a_v a_s a_c a_sym sigma_sys
0.000000000000000000e+00 -3.066897302790633000e+15 9.488226156048584770e-02 7.221509202694812446e-01 4.597537512346397959e-01 2.399656988554556003e-01 5.530464124978040630e-03
0.000000000000000000e+00 -2.839160900701249500e+15 2.270146936533016246e-01 9.687501438995116398e-02 9.814712441772516227e-01 3.196857535120504190e-01 9.233812866749513404e-03
0.000000000000000000e+00 -2.707638569324492000e+15 6.323235431634823822e-01 4.775178989468109592e-02 2.437983963173110391e-01 1.245507084267086784e-01 1.136348250706609164e-02
0.000000000000000000e+00 -2.642021390279135000e+15 3.586741126935484303e-01 9.350325556136906968e-02 8.493777056135707326e-01 5.503656909810471509e-01 1.274847630889119898e-02
0.000000000000000000e+00 -2.520991797345822500e+15 2.396474703855905330e-01 5.379329454398392718e-01 4.671416636510915543e-01 2.504648916139076142e-01 1.517461057999991425e-02
0.000000000000000000e+00 -2.492360137743048000e+15 2.524257177869254631e-01 7.669563105494661137e-01 6.913045408925930779e-01 6.741470553055292081e-01 1.579366590877828713e-02
0.000000000000000000e+00 -2.472099864606587000e+15 8.805744141156419680e-01 1.777895399036414359e-01 6.086208289420862450e-01 7.266620205094307394e-01 1.583886120607846948e-02
0.000000000000000000e+00 -2.126983031068206000e+15 5.806785833295985411e-01 8.782934046145141060e-02 1.203065479694646056e-01 3.368298688314341760e-03 2.342295820971695974e-02
0.000000000000000000e+00 -1.794617894293126500e+15 9.329079202146187688e-01 9.422383943341952062e-01 3.736686363183752135e-01 9.540419392827467204e-01 3.195938674966336546e-02
0.000000000000000000e+00 -1.716849272168877500e+15 5.575998382109822460e-01 9.572840297987543767e-01 4.613370631794166954e-01 1.327620847146167016e-01 3.434276014113901709e-02
0.000000000000000000e+00 -1.558262803185519750e+15 7.096347732201806480e-01 8.282479219143478177e-01 7.920570711121951435e-01 8.652254892118276253e-01 3.916951278238478551e-02
0.000000000000000000e+00 -1.539410061129065750e+15 1.929815538190001734e-01 1.426544658940718246e-01 6.585241483933750306e-01 7.684859710214207995e-01 3.988831137520931769e-02
0.000000000000000000e+00 -1.436817565892520500e+15 2.645874922632618365e-01 3.886335715274099600e-01 1.283449085766661391e-01 9.095970406193856217e-01 4.334026307725014071e-02
0.000000000000000000e+00 -1.136070746173931500e+15 3.843044445723969860e-01 1.072811763085244063e-01 1.422310335898764322e-01 5.450982391750357481e-01 5.509339746610186772e-02
0.000000000000000000e+00 -1.039737016260487750e+15 1.706355287752125971e-02 2.697482082519929714e-01 1.909548760092377728e-01 7.974584127714330339e-01 5.975452669299730069e-02
0.000000000000000000e+00 -8.116023444659167500e+14 7.580332364485944385e-01 9.625043535905531966e-01 7.267144665105914614e-01 7.594744684547397595e-01 7.206446156680923476e-02
0.000000000000000000e+00 -7.851121314773557500e+14 1.644489388228492777e-01 4.271412493992725601e-01 1.940680001979721014e-01 3.389841408338015727e-01 7.386612292258687429e-02
0.000000000000000000e+00 -7.154237330538260000e+14 2.165250572249253214e-01 2.778097124056649880e-01 5.817540291273134434e-01 3.807807676228804894e-01 7.852148654564494734e-02
0.000000000000000000e+00 -7.112077490615888750e+14 7.253893080140050298e-01 4.052914373343039500e-01 6.747537042045719247e-01 9.694821139998166526e-01 7.863598838713314887e-02
0.000000000000000000e+00 -7.047055201469953750e+14 2.973965264530720187e-02 2.077962768170268371e-01 1.742071418795652082e-01 1.456129875801798201e-01 7.931685199394888919e-02
0.000000000000000000e+00 -6.924571051792617500e+14 9.590344237660131110e-02 2.080229845292554947e-01 3.624901355892531374e-01 2.202084158795253321e-01 8.018279133195349573e-02
0.000000000000000000e+00 -6.514986249437435000e+14 9.321431114859490830e-01 5.583546581790629348e-01 3.003859797129319054e-01 2.333844398206852411e-02 8.292639109750343795e-02
0.000000000000000000e+00 -5.444087255710176250e+14 2.942796667919922449e-02 7.144218315183588075e-01 6.818783954834842786e-01 8.379226303804020448e-01 9.233840785619396030e-02
0.000000000000000000e+00 -5.225326664434206250e+14 7.893736007555842704e-01 3.746825769496786585e-02 3.749068606804470960e-01 6.779249601906400802e-02 9.392559107627951320e-02
0.000000000000000000e+00 -5.140014761822233125e+14 8.945982844639800424e-01 5.022877872574328384e-01 6.944648836955064075e-01 7.774837950429950295e-01 9.479884610248734411e-02
0.000000000000000000e+00 -4.485132475897003750e+14 1.347934127945462635e-01 2.352866286724207834e-01 7.935278556006898354e-01 3.341754820418809668e-01 1.018204450292923280e-01
0.000000000000000000e+00 -4.347595210328997500e+14 3.983817655252169798e-01 7.413128143120724101e-01 8.042466938709866842e-01 8.913298799885085444e-01 1.033236510160329136e-01
0.000000000000000000e+00 -4.207271396693095000e+14 7.609374191330778858e-01 1.033448839782120654e-01 9.381903968924254489e-02 6.335697008337811686e-01 1.046411372872355638e-01
0.000000000000000000e+00 -3.997574046288686250e+14 8.307909364840289079e-01 7.239991620899589586e-01 1.120086370401399689e-01 9.676732336093500919e-01 1.072099813414975067e-01
0.000000000000000000e+00 -3.785630009421626250e+14 4.901362738893475512e-01 6.276766701142464377e-01 1.031918448193555049e-01 9.624823183652552183e-01 1.099971143335010115e-01
0.000000000000000000e+00 -3.785615505259226250e+14 5.700317425988528086e-01 5.711249296300303646e-01 3.049596329878389023e-01 8.275528780485652547e-01 1.099681580627528410e-01
0.000000000000000000e+00 -3.686417202930738125e+14 2.954834092972558057e-01 4.638475402422087557e-01 9.693106592819593637e-01 2.472402373201199044e-01 1.113959808104129090e-01
0.000000000000000000e+00 -3.649026439600035000e+14 7.440638199222836535e-01 7.229851277100575180e-01 3.707466609961628246e-01 2.791806405726117157e-01 1.116998307019229086e-01
0.000000000000000000e+00 -3.521607848133160000e+14 1.599893252627684337e-01 7.844513974929794298e-01 2.550459401952648308e-01 2.222555970901551881e-02 1.136615125098584533e-01
0.000000000000000000e+00 -3.495411499725090000e+14 5.667992295242441081e-02 2.085016008189379821e-01 7.338009680713518668e-01 9.290682262715143080e-01 1.140372759597764185e-01
0.000000000000000000e+00 -3.435215494781295000e+14 6.069263877234971627e-01 9.189924356233972746e-01 8.192607142982291091e-01 6.087114451895873080e-01 1.147476061825798421e-01
0.000000000000000000e+00 -3.425760940899348750e+14 8.223049085048322882e-01 4.598857305879062718e-01 5.037718654408396279e-01 7.680205287131247616e-01 1.147108786373854938e-01
0.000000000000000000e+00 -3.361707439101236250e+14 7.736391157748405689e-01 1.599965672634922065e-01 5.189478931320313793e-01 9.603419244471367300e-02 1.155920148573896800e-01
0.000000000000000000e+00 -3.030991693491430000e+14 8.517355185002724038e-01 8.013445285445937039e-01 2.797505738229115746e-01 6.737480595979217224e-02 1.206099371664854925e-01
0.000000000000000000e+00 -2.983680935482218125e+14 3.044540994115373378e-01 1.287039208801835644e-01 9.751080676273826686e-02 9.660794756699516705e-01 1.215000393487996044e-01
0.000000000000000000e+00 -2.952355385834209375e+14 1.929372643878268789e-01 2.940814241431295439e-01 4.242206674542695621e-01 7.306200193915080021e-02 1.220787922033794715e-01
0.000000000000000000e+00 -2.663270321681552812e+14 1.746398301718855572e-01 7.336925354511369957e-02 3.900526616382840039e-01 8.656245395161090705e-01 1.269704101970722254e-01
0.000000000000000000e+00 -2.459696309389505312e+14 4.955243636823256637e-01 1.511212465185627352e-01 9.414215912871354286e-01 6.544473641638081096e-01 1.306385222077186548e-01
0.000000000000000000e+00 -2.427719967733043750e+14 1.240837623766076758e-01 2.816860448706960396e-01 4.056344558080116069e-01 9.526060144911737693e-01 1.313874446963545495e-01
0.000000000000000000e+00 -2.320675345328107812e+14 3.523605740501242201e-01 3.110626437599317562e-01 4.072081372765301577e-01 4.796855199190646069e-01 1.334054207416630611e-01
0.000000000000000000e+00 -1.763261868447452500e+14 7.990876059159983669e-01 2.095483294716253830e-01 5.875042491127974165e-01 2.088192377160233981e-01 1.459188706735080610e-01
0.000000000000000000e+00 -1.644998229064049062e+14 4.708014998395249062e-02 1.882287768484000035e-01 9.065842359876239431e-01 8.888689074702463833e-01 1.494011806173729529e-01
0.000000000000000000e+00 -1.460198536604723125e+14 6.092682740915880135e-01 6.766371621818650928e-01 1.226833820532489128e-01 4.248243498854609168e-01 1.545614576295524234e-01
0.000000000000000000e+00 -1.231207018737364375e+14 1.983289681238864510e-01 4.054540786283856724e-01 8.783863871768253784e-01 9.302384633770938160e-01 1.623504564422441065e-01
0.000000000000000000e+00 -1.216199699766141562e+14 9.327181754886542109e-01 5.825828008466810148e-01 9.334936333510756024e-01 9.397330008742396101e-01 1.626407424898946852e-01
0.000000000000000000e+00 -1.205928995388048750e+14 3.359092305382483934e-01 9.879477032769823364e-01 8.346936937945463875e-01 5.268305122990010192e-01 1.632757010131119513e-01
0.000000000000000000e+00 -1.199613261337560469e+14 6.963245775436979201e-01 9.516602648464363989e-01 3.298510339951111758e-01 3.858734219840750379e-01 1.633314366769134107e-01
0.000000000000000000e+00 -1.189755169236309375e+14 4.094058519800924945e-02 2.931570357971328145e-01 6.100625131420861491e-01 7.247258618642242745e-01 1.638892543929965084e-01
0.000000000000000000e+00 -1.183540890164915938e+14 8.297118810135691858e-01 4.668482927111149428e-01 1.239757769225324768e-02 1.994744014654048492e-01 1.637947417894666247e-01
0.000000000000000000e+00 -1.165709026057600312e+14 2.421181429083920644e-01 8.228977938646864221e-01 8.439533236760833335e-01 9.593501711382137476e-01 1.647969128414239481e-01
0.000000000000000000e+00 -1.140404086552593594e+14 8.586708222741825658e-01 2.187643948185514775e-01 5.188467046963893825e-01 2.931398710478639869e-01 1.654269694879539898e-01
0.000000000000000000e+00 -1.083363775084839688e+14 9.346514654957983614e-01 4.995216349391367050e-01 5.743220405494018355e-01 4.349665544225574942e-01 1.676929208067728938e-01
0.000000000000000000e+00 -1.055749146465292969e+14 9.373019544526309810e-01 8.064526788683832326e-01 5.911379394798960130e-01 7.863792848786358425e-01 1.688667825293644897e-01
0.000000000000000000e+00 -1.015066923530547812e+14 4.070205344525871238e-01 4.696962219932132587e-02 9.629236471393918251e-01 2.324326395189914019e-01 1.707081356425147467e-01
0.000000000000000000e+00 -9.877865043986131250e+13 6.718307492642410228e-01 5.903183342745385032e-01 5.087579383199184457e-01 1.081325185129300426e-01 1.718286730390785610e-01
0.000000000000000000e+00 -9.861573952952131250e+13 8.300403774897882059e-01 2.334398258110713664e-01 7.495532825078765615e-02 8.014685641095677937e-01 1.717832611730000236e-01
0.000000000000000000e+00 -9.802217841010332812e+13 1.975853973486205728e-01 5.216499356230238638e-01 1.721601106286071436e-01 1.380616511949706027e-02 1.723078513135031242e-01
0.000000000000000000e+00 -9.405741263648389062e+13 5.201349919274128597e-01 8.373622874489414780e-01 2.836671876233316514e-01 4.376756068036726788e-01 1.740340155149455725e-01
0.000000000000000000e+00 -9.291103402782206250e+13 3.143606684693905917e-01 1.367133687675043952e-01 5.897353742325346371e-01 1.754889529854480879e-01 1.745763775242950011e-01
0.000000000000000000e+00 -9.271082014203950000e+13 2.958099944715559815e-01 2.868445132588353097e-01 2.826708150492405203e-01 8.208620871518212958e-02 1.746723814520556584e-01
0.000000000000000000e+00 -9.008431422529668750e+13 7.915118012423391081e-01 4.675932076552093974e-01 6.806354942676581254e-01 9.347543093381923685e-01 1.757956721624465146e-01
0.000000000000000000e+00 -8.958563159924962500e+13 3.412629043153391217e-01 4.071161682746324839e-01 8.620023790519160123e-01 7.245582066808401445e-01 1.762034872399758090e-01
0.000000000000000000e+00 -8.036086230978523438e+13 8.920055190604070372e-01 2.014697671781309207e-01 3.098417498584601359e-01 6.309608978333616225e-01 1.806219015783548931e-01
0.000000000000000000e+00 -7.794510849040373438e+13 9.023742011400589513e-01 8.717786139676172441e-01 1.517888185903413234e-01 3.339494328039601667e-01 1.819887967059183875e-01
0.000000000000000000e+00 -7.368651336442543750e+13 1.955426438029466141e-01 8.556976073901442215e-01 9.423227116288568350e-01 9.434585954317967760e-01 1.847095902239562770e-01
0.000000000000000000e+00 -7.335084373022690625e+13 7.858274640252577159e-01 9.370722900346794004e-01 9.777226477829963347e-01 2.392601569998373812e-01 1.846888436440203840e-01
0.000000000000000000e+00 -7.299209034034343750e+13 6.615687823117367694e-01 4.062252313450437358e-01 4.869305616902396272e-01 4.509482721820272655e-01 1.848545921086619526e-01
0.000000000000000000e+00 -7.023547884271725781e+13 8.969298210606508892e-01 2.885032018904437612e-01 2.494869740956238147e-01 3.682605711894559875e-02 1.863731871888087976e-01
0.000000000000000000e+00 -6.708108084707455469e+13 2.113825870865893020e-02 8.585894366213098206e-01 6.767706770163658403e-01 4.325665287284519156e-01 1.887423218145842796e-01
0.000000000000000000e+00 -5.944500194308561719e+13 3.524179844820648499e-01 7.171377655148529762e-01 9.536583369661808529e-01 4.295088400077757829e-01 1.937309402427085381e-01
0.000000000000000000e+00 -5.814775314439746094e+13 6.907581607229391629e-01 6.359187399215819880e-01 4.378908226495137335e-02 9.049915041269678273e-01 1.944778829319006030e-01
0.000000000000000000e+00 -4.705254750273092188e+13 1.833947732626894922e-01 1.199511232594735466e-01 3.275179760965668541e-01 8.658213569549607636e-01 2.034628773631030896e-01
0.000000000000000000e+00 -4.634318757243641406e+13 1.313581368204119748e-02 3.192232485232804340e-01 2.714344757918079054e-01 7.277001313922195624e-01 2.041690563095691635e-01
0.000000000000000000e+00 -4.368917475904946094e+13 5.005861136184264204e-02 4.177473908648794421e-01 5.906909945254369410e-01 9.604224853044668331e-01 2.066311605119799388e-01
0.000000000000000000e+00 -3.914992435374267188e+13 6.047074303511595916e-01 2.495112685044378331e-01 2.866732757147425481e-01 6.298109117062932194e-01 2.109092785024546668e-01
0.000000000000000000e+00 -3.876861199227507812e+13 2.077745597844090630e-01 8.460783665209089532e-01 7.904420171220530866e-01 9.381333874592465705e-01 2.115515423861120681e-01
0.000000000000000000e+00 -3.671613448946499219e+13 6.629883692535780693e-01 9.327761283365187950e-02 9.781602848068263745e-01 4.202174264144120652e-02 2.135349144206800664e-01
0.000000000000000000e+00 -3.257121217834383984e+13 2.757370538521597414e-01 5.923084065812183052e-01 3.237510858956975657e-01 5.640820008047564560e-02 2.185603453116823358e-01
0.000000000000000000e+00 -2.788383845278988281e+13 4.245289462255522617e-01 1.631242512757881125e-01 6.956492066513275674e-02 7.086572429394356609e-01 2.247322010990773222e-01
0.000000000000000000e+00 -2.453929784974444531e+13 7.953509103798831470e-01 2.160839526765324647e-01 9.983315621277530916e-01 3.239159265434610191e-01 2.297767485384123454e-01
0.000000000000000000e+00 -2.294453543749578906e+13 8.513598337627803492e-02 8.267019769512892191e-01 7.942042490793090881e-01 3.537694362893897271e-01 2.327421257724533454e-01
0.000000000000000000e+00 -2.134341825062794531e+13 7.378392988707406230e-01 6.900153223838023653e-02 8.312441775568768509e-02 3.251418045673435397e-01 2.352622847525368543e-01
0.000000000000000000e+00 -1.981887286176748438e+13 8.732571717078378981e-01 9.370059595549564690e-01 8.453904783266094070e-01 8.477797519262690873e-01 2.382830228519661198e-01
0.000000000000000000e+00 -1.917568747987930859e+13 7.392387492097783896e-01 4.356669053740199749e-01 4.431138907828262585e-01 3.707031103106926961e-01 2.395399158790348926e-01
0.000000000000000000e+00 -1.884669057037851953e+13 4.352485663166545393e-01 9.685873862115246258e-02 2.910419784546613986e-01 4.159858836152400263e-01 2.402772866796614171e-01
0.000000000000000000e+00 -1.861052493389230078e+13 3.104882370720020157e-01 2.285615766727537856e-01 9.134393209609598108e-01 3.991503090719629165e-01 2.408646183026519338e-01
0.000000000000000000e+00 -1.620257061127618359e+13 3.347998688597185746e-01 2.646955289398728040e-01 1.025471837518221463e-03 7.665957625679784559e-01 2.462106104995317457e-01
0.000000000000000000e+00 -1.584240305447119922e+13 6.855695661181849809e-01 4.728030887029430751e-01 5.411013265151175533e-01 3.558999164907641344e-01 2.470133368190280398e-01
0.000000000000000000e+00 -1.507254692973317969e+13 7.944513787456837228e-01 4.716031979083165071e-01 9.196796688951887067e-01 8.790419075046904673e-01 2.489357650902941366e-01
0.000000000000000000e+00 -1.458695163356107227e+13 8.101851729787208356e-01 7.436558818303697915e-01 9.656230957482903055e-01 8.451129063563066479e-01 2.502235447955052372e-01
0.000000000000000000e+00 -1.292307596242502930e+13 3.052607195307847077e-01 3.163361763497863910e-01 9.778396175451841144e-01 3.509585019317722487e-01 2.549878860508565381e-01
0.000000000000000000e+00 -1.195392773832002930e+13 3.673205328258379865e-01 5.937400416586786633e-01 2.765414150225206091e-01 1.662160223245643387e-01 2.579217251579016823e-01
0.000000000000000000e+00 -1.095263005980564844e+13 6.934041124226316688e-01 5.920181479582355966e-01 8.975965734882458413e-01 6.502758582222334383e-01 2.611778299341116494e-01
0.000000000000000000e+00 -1.059183455194011719e+13 6.200556568737701779e-01 8.750601182111366061e-01 4.338533280537087977e-01 4.293239722879754749e-01 2.624630887189335349e-01
0.000000000000000000e+00 -1.048780233207659375e+13 5.078878206741567203e-01 5.186920661446874359e-01 7.268753965389919136e-01 6.011136957141335335e-01 2.628569708363370783e-01
0.000000000000000000e+00 -9.811984978690164062e+12 5.416470993725387428e-01 5.533937058656449581e-01 4.677525864868865568e-01 9.534885382500219997e-01 2.653451411039581265e-01
0.000000000000000000e+00 -8.308477572037090820e+12 4.648198114662089875e-01 5.284918845515104158e-01 4.424098494002027815e-01 1.834619769334434602e-01 2.715635785603983665e-01
0.000000000000000000e+00 -8.033977803486097656e+12 3.698085046116071917e-01 2.833538552026828583e-01 3.082142110193306639e-01 5.874476116246779567e-01 2.728146233639735518e-01
0.000000000000000000e+00 -7.955246418006706055e+12 4.436359684227557665e-01 5.145338446680602917e-01 9.592330463321574463e-01 7.733099841023879373e-01 2.732195107719187499e-01
0.000000000000000000e+00 -7.742287536143303711e+12 7.939777321506047425e-01 4.673289470913897237e-01 5.638099821961717328e-01 7.045151147318692297e-01 2.740833778451072789e-01
0.000000000000000000e+00 -7.418876188264506836e+12 9.722258469666094083e-01 3.308861760959225240e-02 2.822694080506258363e-01 6.995350460905149781e-01 2.755441003472134387e-01
0.000000000000000000e+00 -7.107524384562292969e+12 3.143038400598044957e-01 3.457541077178133415e-01 7.045983804191520150e-01 1.791907782582136122e-02 2.773748393961581460e-01
0.000000000000000000e+00 -7.057120286065814453e+12 5.842184762676967402e-01 8.895637131657665453e-01 2.545582478882406630e-01 7.814093328871610789e-01 2.775881551875463149e-01
0.000000000000000000e+00 -6.361078916092583008e+12 6.997976522314175440e-02 8.962060416876085345e-01 5.883729706935189041e-01 9.807331729074281190e-01 2.815754206385413516e-01
