logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 3.000000000000000000e+02 -3.132517602200023000e+15 -3.132517602200028500e+15 5.466666666666666341e-01
-3.132517602200028500e+15 nan -3.333333333333333547e-03 3.000000000000000000e+02 -3.120244595787901000e+15 -3.120244595787906500e+15 4.333333333333333481e-01
-3.120244595787906500e+15 5.314367666853648438e+12 -6.666666666666667095e-03 3.000000000000000000e+02 -3.091363987818688000e+15 -3.091363987818693500e+15 1.366666666666666696e+00
-3.091363987818693500e+15 1.537019759516371289e+13 -1.000000000000000021e-02 3.000000000000000000e+02 -3.069017127971100000e+15 -3.069017127971105500e+15 9.066666666666666208e-01
-3.069017127971105500e+15 1.492351927243555078e+13 -1.333333333333333419e-02 3.000000000000000000e+02 -2.968229289877408500e+15 -2.968229289877414000e+15 3.733333333333333504e-01
-2.968229289877414000e+15 4.751184251812067188e+13 -1.666666666666666644e-02 3.000000000000000000e+02 -2.960481276564563500e+15 -2.960481276564569000e+15 1.273333333333333428e+00
-2.960481276564569000e+15 2.959865498706506641e+13 -2.000000000000000042e-02 3.000000000000000000e+02 -2.829615805688451000e+15 -2.829615805688456500e+15 4.199999999999999845e-01
-2.829615805688456500e+15 5.787124953012503125e+13 -2.333333333333333440e-02 3.000000000000000000e+02 -2.800616833207390000e+15 -2.800616833207395500e+15 1.780000000000000027e+00
-2.800616833207395500e+15 7.406714276129526562e+13 -2.666666666666666838e-02 3.000000000000000000e+02 -2.756431287248464000e+15 -2.756431287248469500e+15 9.133333333333333304e-01
-2.756431287248469500e+15 7.604494115315090625e+13 -3.000000000000000236e-02 3.000000000000000000e+02 -2.604752481228451500e+15 -2.604752481228457000e+15 9.333333333333333759e-02
-2.604752481228457000e+15 7.150207486601981250e+13 -3.333333333333333287e-02 3.000000000000000000e+02 -2.470462107171035500e+15 -2.470462107171041000e+15 3.400000000000000244e-01
-2.470462107171041000e+15 9.729387783099992188e+13 -3.666666666666666685e-02 3.000000000000000000e+02 -2.376254612935553500e+15 -2.376254612935559000e+15 1.153333333333333321e+00
-2.376254612935559000e+15 8.562459414012864062e+13 -4.000000000000000083e-02 3.000000000000000000e+02 -2.270343417277961000e+15 -2.270343417277966500e+15 1.866666666666666752e-01
-2.270343417277966500e+15 9.729963879227557812e+13 -4.333333333333333481e-02 3.000000000000000000e+02 -1.790101928335889500e+15 -1.790101928335895250e+15 7.399999999999999911e-01
-1.790101928335895250e+15 3.093137681686338125e+14 -4.666666666666666879e-02 3.000000000000000000e+02 -1.781517663833579750e+15 -1.781517663833585500e+15 1.773333333333333428e+00
-1.781517663833585500e+15 2.670760843698991250e+14 -5.000000000000000278e-02 3.000000000000000000e+02 -1.770930598663148500e+15 -1.770930598663154250e+15 5.799999999999999600e-01
-1.770930598663154250e+15 1.652398179325369375e+14 -5.333333333333333676e-02 3.000000000000000000e+02 -1.701887883918600000e+15 -1.701887883918605750e+15 1.000000000000000000e+00
-1.701887883918605750e+15 3.517546461169259375e+13 -5.666666666666667074e-02 3.000000000000000000e+02 -1.382958933545912000e+15 -1.382958933545917750e+15 1.199999999999999956e+00
